variant_id,run_group_id,ticker,provider,status,answer_path,fiscal_year,report_period,revenue,net_income,total_assets,operating_cash_flow,capital_expenditures,free_cash_flow,net_margin,free_cash_flow_margin
msft-financialdatasets-rest,01KRNZA3HZS536XGQ7GCSJSHKG,MSFT,Financial Datasets,pass,.axp/sandboxes/01KRNZ37V5FT0JJJHTYDER7FY6/workspace/answer.json,2026,2026-03-31,82886000000,31778000000,694228000000,46679000000,30876000000,15803000000,0.383414,0.190668
msft-sec-edgar,01KRNZAF3ZQ6HNQQT4EQ5V9EPZ,MSFT,SEC EDGAR,pass,.axp/sandboxes/01KRNZ354EK5MS7DNFJPNCKSZ8/workspace/answer.json,2026,2026-03-31,82886000000,31778000000,694228000000,46679000000,30876000000,15803000000,0.383394,0.190659
pg-financialdatasets-rest,01KRNZAWMAXP774FWK6GA9E0WC,PG,Financial Datasets,pass,.axp/sandboxes/01KRNZ39TNH9CN5WXSS64JERZE/workspace/answer.json,2026,2026-03-31,21235000000,3932000000,128378000000,4045000000,1019000000,3026000000,0.185166,0.142501
pg-sec-edgar,01KRNZB9QE59A0E1E2B6M4FHJK,PG,SEC EDGAR,pass,.axp/sandboxes/01KRNZ3AC13F9ZNVJZ6K9GB87Y/workspace/answer.json,2026,2026-03-31,21235000000,3932000000,128378000000,4045000000,1019000000,3026000000,0.185166,0.142501
tsla-financialdatasets-rest,01KRNZCYFNFVXJVS0M54DCN5PJ,TSLA,Financial Datasets,pass,.axp/sandboxes/01KRNZ38W7JDG8S5RTSE33R8RV/workspace/answer.json,2026,2026-03-31,22387000000,477000000,143724000000,3937000000,2493000000,1444000000,0.021308,0.064502
tsla-sec-edgar,01KRNZDSR2Q88XCTMG4C9MZHPJ,TSLA,SEC EDGAR,fail,.axp/sandboxes/01KRNZ399TNQKKCFWG7K4KGS4H/workspace/answer.json,2026,2026-03-31,22387000000,491000000,143724000000,3937000000,2493000000,1444000000,0.021932,0.064502
wmt-financialdatasets-rest,01KRNZE5Q1RSXTN1G77FSBCTC4,WMT,Financial Datasets,fail,.axp/sandboxes/01KRNZ38F02TYP4CE5CFAWRDNT/workspace/answer.json,2026,2025-10-31,179496000000,6143000000,288655000000,27452000000,18627000000,8825000000,0.034224,0.049165
wmt-sec-edgar,01KRNZEMYXANA5SKNZAHE7JZ1M,WMT,SEC EDGAR,pass,.axp/sandboxes/01KRNZ38PRR6QR0AWNDK8TGS3Q/workspace/answer.json,2026,2026-01-31,190656000000,4237000000,284668000000,14113000000,8015000000,6098000000,0.022223,0.031984
xom-financialdatasets-rest,01KRNZGBKMK58KC3W9D4JP30H3,XOM,Financial Datasets,pass,.axp/sandboxes/01KRNZ37RDWDTV3V4ADQ1JGKXR/workspace/answer.json,2026,2026-03-31,85138000000,4183000000,464410000000,8705000000,6470000000,2235000000,0.049132,0.026252
xom-sec-edgar,01KRNZH75DD8MJ09J3B7W3Z33K,XOM,SEC EDGAR,pass,.axp/sandboxes/01KRNZ386DY6V4M05XXJRJFV9M/workspace/answer.json,2026,2026-03-31,85138000000,4183000000,464410000000,8705000000,6470000000,2235000000,0.049132,0.026251
